Group,MAE_MW,RMSE_MW,Model
15-25 C,291.4913615474421,396.93444679796346,Decision Tree
25-30 C,301.9640654517465,410.94041407830633,Decision Tree
>30 C,358.3866877858562,489.02609989848725,Decision Tree
15-25 C,228.66689363944843,340.1453766827385,Neural Network
25-30 C,281.22693716197864,388.9421797285718,Neural Network
>30 C,234.84968607821443,330.8651465443514,Neural Network
