Validation_period,Model,Training_rows,Validation_rows,MAE_MW,RMSE_MW,R2,MAPE_percent
July,Decision Tree,8352,1488,271.66140470238435,344.6177377422272,0.8267311639864241,4.741707828191447
July,Neural Network,8352,1488,262.1232796473316,328.9052693629083,0.8421709776884235,4.463737400962677
August,Decision Tree,9840,1488,233.8265571046921,306.1941456838321,0.8588563230845621,4.383338130765179
August,Neural Network,9840,1488,178.90633552959451,233.3008821720928,0.9180591578418794,3.2897387278373698
September,Decision Tree,11328,1440,286.57362153445024,375.6021823363087,0.7431667913172024,5.882274013644626
September,Neural Network,11328,1440,263.85318940999366,341.11681852471963,0.7881632871569173,5.224410395826261
October,Decision Tree,12768,1488,252.12949063056428,317.5877394613753,0.770287361113376,5.117217528793007
October,Neural Network,12768,1488,160.2955302537854,207.33674938713776,0.9020938426384466,3.233520022231432
