Group,MAE_MW,RMSE_MW,Model
weekday,306.6017356644522,420.9520463162603,Decision Tree
weekend,294.7909941272457,396.0023115666658,Decision Tree
weekday,270.2055145714111,391.0849518747666,Neural Network
weekend,199.00021852917965,264.11024117830186,Neural Network
