Model,vk_mean_mae,vk_std_mae,vk_mean_rmse,vk_mean_r2,vk_mean_mape
Decision Tree,261.0477684930227,22.98367882184677,336.0004513059358,0.7997604098753912,5.0311343753485644
Neural Network,216.29458371017628,54.45446243555385,277.66492986171465,0.8626218163314168,4.052851636714435
